Round;Step;Action;State;Observation;OsProb;Reward;Curr_rewards_discounted;Curr_rewards_undiscounted
1;14;0:a1;[ps_1:a84];[measurements:o91];0.0176314;0;0.103806;0.2
1;15;28:a29;[ps_1:a82];[measurements:o94];0.0148094;0.29;0.23816;0.49
1;16;34:a35;[ps_1:a72];[measurements:o56];0.0215908;0.35;0.392205;0.84
1;17;15:a16;[ps_1:a75];[measurements:o56];0.0199396;0.157895;0.458224;0.997895
1;18;14:a15;[ps_1:a88];[measurements:o54];0.0110753;0.147368;0.516761;1.14526
1;19;12:a13;[ps_1:a98];[measurements:o94];0.0250961;0.126316;0.564426;1.27158
1;20;30:a31;[ps_1:a76];[measurements:o89];0.0136956;0.31;0.675557;1.58158
1;21;28:a29;[ps_1:a78];[measurements:o99];0.00986157;0.29;0.77432;1.87158
1;22;31:a32;[ps_1:a76];[measurements:o70];0.022701;0.32;0.877851;2.19158
1;23;23:a24;[ps_1:a89];[measurements:o81];0.0237549;0.24;0.951616;2.43158
1;24;25:a26;[ps_1:a73];[measurements:o33];0.001746;0.26;1.02753;2.69158
1;25;0:a1;[ps_1:a44];[measurements:o46];0.0280058;0;1.02753;2.69158
1;26;6:a7;[ps_1:a45];[measurements:o39];0.0339998;0.0631579;1.04418;2.75474
1;27;4:a5;[ps_1:a50];[measurements:o24];0.00394509;0.0421053;1.05472;2.79684
1;28;0:a1;[ps_1:a41];[measurements:o55];0.0116328;0;1.05472;2.79684
1;29;12:a13;[ps_1:a32];[measurements:o35];0.0336345;0.126316;1.08326;2.92316
1;30;1:a2;[ps_1:a32];[measurements:o22];0.0363425;0.0105263;1.08552;2.93368
1;31;1:a2;[ps_1:a39];[measurements:o34];0.0391702;0.0105263;1.08766;2.94421
1;32;0:a1;[ps_1:a34];[measurements:o30];0.0448086;0;1.08766;2.94421
1;33;0:a1;[ps_1:a30];[measurements:o33];0.0351461;0;1.08766;2.94421
1;34;1:a2;[ps_1:a29];[measurements:o35];0.0261477;0.0105263;1.0895;2.95474
1;35;1:a2;[ps_1:a63];[measurements:o46];0.0208794;0.0105263;1.09125;2.96526
1;36;8:a9;[ps_1:a70];[measurements:o91];0.00900187;0.0842105;1.10454;3.04947
1;37;29:a30;[ps_1:a61];[measurements:o66];0.0193664;0.3;1.1495;3.34947
1;38;18:a19;[ps_1:a44];[measurements:o42];0.0327763;0.189474;1.17649;3.53895
1;39;6:a7;[ps_1:a54];[measurements:o74];0.00812821;0.0631579;1.18503;3.60211
1;40;24:a25;[ps_1:a47];[measurements:o51];0.0240039;0.25;1.21716;3.85211
1;41;13:a14;[ps_1:a73];[measurements:o53];0.0189679;0.136842;1.23386;3.98895
1;42;11:a12;[ps_1:a85];[measurements:o84];0.0213747;0.115789;1.24729;4.10474
1;43;27:a28;[ps_1:a74];[measurements:o76];0.0197876;0.28;1.27814;4.38474
1;44;25:a26;[ps_1:a76];[measurements:o62];0.0224394;0.26;1.30536;4.64474
1;45;17:a18;[ps_1:a77];[measurements:o64];0.0227047;0.178947;1.32315;4.82368
1;46;19:a20;[ps_1:a63];[measurements:o41];0.0151309;0.2;1.34205;5.02368
1;47;8:a9;[ps_1:a78];[measurements:o77];0.0210513;0.0842105;1.34961;5.10789
1;48;25:a26;[ps_1:a59];[measurements:o65];0.0188948;0.26;1.37177;5.36789
1;49;19:a20;[ps_1:a52];[measurements:o49];0.0283942;0.2;1.38797;5.56789
1;50;14:a15;[ps_1:a47];[measurements:o39];0.032238;0.147368;1.39931;5.71526
1;51;1:a2;[ps_1:a67];[measurements:o70];0.0198484;0.0105263;1.40008;5.72579
1;52;22:a23;[ps_1:a47];[measurements:o50];0.0252674;0.23;1.41605;5.95579
1;53;13:a14;[ps_1:a49];[measurements:o50];0.0266643;0.136842;1.42508;6.09263
1;54;11:a12;[ps_1:a57];[measurements:o54];0.0260505;0.115789;1.43234;6.20842
1;55;12:a13;[ps_1:a61];[measurements:o34];0.00788342;0.126316;1.43986;6.33474
1;56;2:a3;[ps_1:a43];[measurements:o32];0.0312083;0.0210526;1.44105;6.35579
1;57;2:a3;[ps_1:a81];[measurements:o57];0.0173435;0.0210526;1.44218;6.37684
1;58;16:a17;[ps_1:a84];[measurements:o45];0.00545189;0.168421;1.45078;6.54526
1;59;9:a10;[ps_1:a63];[measurements:o73];0.0153686;0.0947368;1.45537;6.64
1;60;22:a23;[ps_1:a46];[measurements:o41];0.0330988;0.23;1.46597;6.87
1;61;4:a5;[ps_1:a68];[measurements:o48];0.0183343;0.0421053;1.46781;6.91211
1;62;9:a10;[ps_1:a86];[measurements:o59];0.0164072;0.0947368;1.47175;7.00684
1;63;15:a16;[ps_1:a84];[measurements:o99];0.0135503;0.157895;1.47798;7.16474
1;64;34:a35;[ps_1:a67];[measurements:o89];0.00824317;0.35;1.49112;7.51474
1;65;30:a31;[ps_1:a39];[measurements:o64];0.00326247;0.31;1.50217;7.82474
1;66;21:a22;[ps_1:a15];[measurements:o16];0.0725942;0.22;1.50962;8.04474
1;67;0:a1;[ps_1:a18];[measurements:o34];0.00177769;0;1.50962;8.04474
1;68;0:a1;[ps_1:a17];[measurements:o19];0.0554086;0;1.50962;8.04474
1;69;0:a1;[ps_1:a17];[measurements:o18];0.0662646;0;1.50962;8.04474
1;70;0:a1;[ps_1:a23];[measurements:o18];0.0653819;0;1.50962;8.04474
1;71;0:a1;[ps_1:a41];[measurements:o25];0.0184673;0;1.50962;8.04474
1;72;0:a1;[ps_1:a48];[measurements:o58];0.0164082;0;1.50962;8.04474
1;73;6:a7;[ps_1:a85];[measurements:o79];0.0228782;0.0631579;1.51111;8.10789
1;74;27:a28;[ps_1:a92];[measurements:o80];0.0245899;0.28;1.5174;8.38789
1;75;28:a29;[ps_1:a64];[measurements:o77];0.0132424;0.29;1.52359;8.67789
1;76;27:a28;[ps_1:a49];[measurements:o42];0.0312707;0.28;1.52927;8.95789
1;77;6:a7;[ps_1:a43];[measurements:o23];0.00931646;0.0631579;1.53049;9.02105
1;78;0:a1;[ps_1:a51];[measurements:o47];0.029464;0;1.53049;9.02105
1;79;7:a8;[ps_1:a53];[measurements:o64];0.0150737;0.0736842;1.53177;9.09474
1;80;19:a20;[ps_1:a43];[measurements:o57];0.0118588;0.2;1.53507;9.29474
1;81;12:a13;[ps_1:a41];[measurements:o37];0.0368414;0.126316;1.53705;9.42105
1;82;3:a4;[ps_1:a57];[measurements:o85];0.00466819;0.0315789;1.53752;9.45263
1;83;30:a31;[ps_1:a34];[measurements:o28];0.0445979;0.31;1.54191;9.76263
1;84;0:a1;[ps_1:a41];[measurements:o42];0.0312837;0;1.54191;9.76263
1;85;5:a6;[ps_1:a52];[measurements:o32];0.0146927;0.0526316;1.54259;9.81526
1;86;0:a1;[ps_1:a80];[measurements:o93];0.0140592;0;1.54259;9.81526
1;87;30:a31;[ps_1:a66];[measurements:o93];0.00600892;0.31;1.54616;10.1253
1;88;33:a34;[ps_1:a41];[measurements:o30];0.0318106;0.34;1.54989;10.4653
1;89;0:a1;[ps_1:a41];[measurements:o30];0.0318106;0;1.54989;10.4653
